lipid_class,has_HG,species_gate,molecular_species_gate,primary_evidence,secondary_evidence,scoring_policy,scoring_weights,HG examples,LCB evidence,NL examples,common examples,generator_functions,status,notes
GM2,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GM3,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GD1,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GD1a,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GD1b,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GD2,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
GD3,True,Precursor AND HG,Precursor AND HG AND LCB,HG,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,NeuAc HG only when actually generated; branch isomers require explicit structure
HexCer,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
GlcCer,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
GalCer,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
LacCer,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
Hex2Cer,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
Gb3,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
Gb4,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
GA1,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
GA2,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
type I B antigen,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,NeuAc+H; NeuAc+H-H2O,LCB_fragment / LCB_mz,first/complete glycan loss,[C2H5NO+H]+; other precursor dehydration,GSL_fragments,provisional_author_policy,First/complete unhydrated glycan losses are provisional scoring anchors; topology/observability need validation
Cer,False,Precursor AND NL,Precursor AND NL AND LCB,LCB,diagnostic_nl,structural_60_20_20,60 / 20 / 20,,LCB_fragment / LCB_mz,M+H-H2O; M+H-2H2O (author policy),[C2H5NO+H]+; other precursor dehydration,,provisional_author_policy,Author-designated M+H-H2O and M+H-2H2O diagnostic NL; not universal subclass specificity
FMC_1,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,,LCB_fragment / LCB_mz,Gal; HOAc,[C2H5NO+H]+; other precursor dehydration,FMC_1,provisional_author_policy,
FMC_3,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,,LCB_fragment / LCB_mz,Gal_OAc; HOAc,[C2H5NO+H]+; other precursor dehydration,FMC_3,provisional_author_policy,
FMC_5,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,,LCB_fragment / LCB_mz,Gal_4OAc; HOAc,[C2H5NO+H]+; other precursor dehydration,FMC_5,provisional_author_policy,
EO-Cer,False,Precursor AND NL,Precursor AND NL AND LCB,LCB,diagnostic_nl,structural_60_20_20,60 / 20 / 20,,LCB_fragment / LCB_mz,E 18:2,[C2H5NO+H]+; other precursor dehydration,EO_cer,provisional_author_policy,"Existing fixed E 18:2 loss is NL, not direct FA-ion confirmation"
EO-GlcCer,False,Precursor AND NL,Precursor AND NL AND LCB,diagnostic_nl,LCB,structural_60_20_20,60 / 20 / 20,,LCB_fragment / LCB_mz,E 18:2; Glc,[C2H5NO+H]+; other precursor dehydration,EO_Glccer,provisional_author_policy,
So,False,Precursor AND LCB,Precursor AND LCB,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,,UNSPECIFIED: no LCB append in current single/three-chain path,,[C2H5NO+H]+; other precursor dehydration,So,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments
S1P,True,Precursor AND HG,Precursor AND HG AND LCB,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,H4PO4,UNSPECIFIED: no LCB append in current single/three-chain path,H3PO4,[C2H5NO+H]+; other precursor dehydration,S1P,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments
Lyso-SM,True,Precursor AND HG,Precursor AND HG AND LCB,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,[phosphocholine+H]+,UNSPECIFIED: no LCB append in current single/three-chain path,C5H14NO4P; C3H9N,[C2H5NO+H]+; other precursor dehydration,Lyso_SM,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments
Lyso-sulfo,True,Precursor AND HG,Precursor AND HG AND LCB,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,[HSO4+H]+,UNSPECIFIED: no LCB append in current single/three-chain path,C6H10O8S; SO3,[C2H5NO+H]+; other precursor dehydration,Lyso_sulfo,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments
Glu-So,False,Precursor AND NL,Precursor AND NL AND LCB,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,,UNSPECIFIED: no LCB append in current single/three-chain path,C6H10O5; C6H10O5H2O,[C2H5NO+H]+; other precursor dehydration,Glu_So,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments
Gb3-So,False,Precursor AND NL,Precursor AND NL AND LCB,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,,UNSPECIFIED: no LCB append in current single/three-chain path,C6H10O5; 2*C6H10O5; 3*C6H10O5,[C2H5NO+H]+; other precursor dehydration,Gb3_So,provisional_author_policy,UNSPECIFIED single-chain scoring policy; current so_fuc does not append LCB dictionary fragments
1-O-acetyl-Cer,False,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,,UNSPECIFIED: no LCB append in current single/three-chain path,,[C2H5NO+H]+; other precursor dehydration,O_FA_cer; OCer,UNSPECIFIED,Legacy fixed three-chain enumeration needs author review; no complementary two-chain inference
